TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,6.76,6.84,6.89,6.7
1,6.68,6.84,6.87,6.64
2,6.63,6.84,6.85,6.6
3,6.58,6.83,6.85,6.58
4,6.55,6.82,6.84,6.55
5,6.51,6.81,6.83,6.53
6,6.47,6.8,6.82,6.51
7,6.44,6.79,6.82,6.49
8,6.41,6.79,6.81,6.47
9,6.37,6.78,6.8,6.45
10,6.34,6.78,6.8,6.43
11,6.3,6.77,6.79,6.41
12,6.27,6.76,6.79,6.4
13,6.23,6.75,6.78,6.38
14,6.2,6.74,6.78,6.37
15,6.17,6.73,6.77,6.35
16,6.14,6.73,6.77,6.34
17,6.1,6.72,6.76,6.32
18,6.07,6.71,6.76,6.31
19,6.04,6.71,6.75,6.30
20,6.01,6.7,6.75,6.28
