TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,5.09,5.22,6.02,6.10
1,4.81,5.04,5.93,6.06
2,4.51,4.88,5.80,6.01
3,4.25,4.71,5.73,5.97
4,3.96,4.63,5.63,5.88
5,3.80,4.43,5.51,5.84
6,3.52,4.24,5.43,5.78
7,3.34,4.07,5.34,5.72
8,3.06,3.89,5.22,5.67
9,2.79,3.73,5.14,5.62
10,2.50,3.51,5.05,5.58
11,2.22,3.33,4.96,5.53
12,1.93,3.15,4.89,5.49
13,1.65,2.97,4.81,5.45
14,1.37,2.80,4.74,5.39
15,1.05,2.62,4.65,5.33
16,0.76,2.43,4.57,5.27
17,0.45,2.24,4.48,5.22
18,0.16,2.06,4.39,5.18
19,0.11,1.88,4.32,5.14
20,0.06,1.69,4.24,5.09
