TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,5.26,5.34,6.37,6.42
1,4.98,5.19,6.32,6.39
2,4.73,5.03,6.25,6.36
3,4.47,4.88,6.19,6.32
4,4.18,4.73,6.12,6.30
5,3.90,4.62,6.08,6.26
6,3.63,4.47,5.99,6.23
7,3.36,4.34,5.92,6.19
8,3.10,4.19,5.84,6.16
9,2.85,4.04,5.77,6.12
10,2.57,3.90,5.70,6.10
11,2.33,3.74,5.63,6.09
12,2.09,3.59,5.57,6.08
13,1.85,3.44,5.53,6.05
14,1.66,3.29,5.49,6.03
15,1.42,3.15,5.44,6.01
16,1.19,3.01,5.39,5.99
17,0.96,2.87,5.34,5.97
18,0.73,2.72,5.28,5.94
19,0.49,2.58,5.24,5.91
20,0.26,2.45,5.19,5.88
