TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,5.12,5.08,6.07,6.33
1,4.66,4.92,6.02,6.29
2,4.48,4.73,5.96,6.26
3,4.25,4.52,5.89,6.23
4,3.98,4.33,5.81,6.20
5,3.81,4.12,5.75,6.16
6,3.59,3.95,5.67,6.14
7,3.36,3.74,5.6,6.1
8,3.12,3.54,5.53,6.07
9,2.89,3.34,5.45,6.04
10,2.67,3.15,5.39,6.00
11,2.37,2.95,5.31,5.98
12,2.16,2.75,5.24,5.94
13,1.96,2.54,5.17,5.91
14,1.73,2.37,5.11,5.88
15,1.5,2.16,5.02,5.85
16,1.28,1.97,4.95,5.82
17,1.03,1.77,4.89,5.78
18,0.86,1.58,4.8,5.75
19,0.65,1.38,4.73,5.72
20,0.48,1.19,4.64,5.69
