TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,6.78,6.77,6.79,6.38
1,6.73,6.74,6.75,6.32
2,6.69,6.71,6.72,6.27
3,6.66,6.69,6.7,6.2
4,6.64,6.67,6.67,6.16
5,6.62,6.65,6.65,6.11
6,6.6,6.63,6.63,6.06
7,6.58,6.62,6.61,6.02
8,6.56,6.6,6.58,5.98
9,6.54,6.59,6.57,5.93
10,6.53,6.57,6.55,5.88
11,6.51,6.55,6.53,5.85
12,6.49,6.54,6.51,5.81
13,6.48,6.52,6.49,5.75
14,6.47,6.51,6.47,5.73
15,6.45,6.49,6.45,5.69
16,6.43,6.48,6.43,5.65
17,6.42,6.46,6.42,5.61
18,6.40,6.45,6.4,5.57
19,6.39,6.43,6.38,5.53
20,6.38,6.41,6.37,5.49
