TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,5.19,5.67,6.82,7.01
1,4.71,5.45,6.72,6.91
2,4.46,5.37,6.7,6.82
3,4.21,5.26,6.65,6.76
4,3.98,5.16,6.61,6.71
5,3.73,5.06,6.57,6.67
6,3.51,4.95,6.52,6.64
7,3.27,4.85,6.47,6.61
8,3.1,4.75,6.43,6.58
9,2.85,4.65,6.4,6.55
10,2.64,4.55,6.35,6.52
11,2.43,4.45,6.31,6.5
12,2.22,4.35,6.28,6.48
13,2.02,4.25,6.23,6.45
14,1.79,4.16,6.2,6.42
15,1.59,4.06,6.16,6.4
16,1.39,3.97,6.12,6.38
17,1.19,3.87,6.08,6.36
18,0.99,3.78,6.04,6.34
19,0.82,3.68,6.01,6.33
20,0.64,3.58,5.96,6.31
