created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2023-07-13T18:44:35-06:00,81,0,8,68,147,0,0,0,0,,,,
2023-07-13T18:44:51-06:00,82,0,1,28,156,0,0,0,0,,,,
2023-07-13T18:45:06-06:00,83,0,38,81,112,0,0,0,0,,,,
2023-07-13T18:45:22-06:00,84,0,24,44,127,0,0,0,0,,,,
2023-07-13T18:45:37-06:00,85,0,21,29,161,0,0,0,0,,,,
2023-07-13T18:45:53-06:00,86,0,52,72,213,0,0,0,0,,,,
2023-07-13T18:46:09-06:00,87,16,71,122,154,0,0,0,0,,,,
2023-07-13T18:46:57-06:00,88,676,660,692,882,24,0,0,0,,,,
2023-07-13T18:47:12-06:00,89,1003,556,622,1718,24,8,18,62,,,,
2023-07-13T18:47:36-06:00,90,64949,63768,64903,17219,481,385,405,485,,,,
2023-07-13T18:47:52-06:00,91,6072,5752,6142,1816,440,354,364,478,,,,
2023-07-13T18:48:07-06:00,92,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:48:23-06:00,93,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:48:38-06:00,94,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:48:54-06:00,95,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:49:10-06:00,96,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:49:25-06:00,97,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:49:41-06:00,98,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:50:17-06:00,99,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:50:32-06:00,100,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:50:48-06:00,101,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:51:03-06:00,102,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:51:19-06:00,103,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:51:34-06:00,104,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:51:50-06:00,105,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:52:05-06:00,106,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:52:21-06:00,107,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:52:37-06:00,108,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:52:52-06:00,109,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:53:08-06:00,110,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:53:23-06:00,111,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:53:39-06:00,112,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:53:54-06:00,113,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:54:10-06:00,114,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:54:26-06:00,115,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:54:42-06:00,116,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:54:57-06:00,117,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:55:33-06:00,118,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:55:48-06:00,119,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:56:04-06:00,120,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:56:19-06:00,121,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:56:35-06:00,122,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:56:51-06:00,123,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:57:07-06:00,124,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:57:24-06:00,125,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:57:39-06:00,126,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:57:55-06:00,127,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:58:10-06:00,128,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:58:26-06:00,129,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:58:42-06:00,130,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:58:57-06:00,131,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:59:13-06:00,132,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:59:28-06:00,133,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:59:44-06:00,134,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:00:00-06:00,135,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:00:15-06:00,136,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:00:31-06:00,137,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:00:47-06:00,138,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:01:02-06:00,139,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:01:18-06:00,140,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:01:34-06:00,141,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:01:49-06:00,142,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:02:05-06:00,143,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:02:21-06:00,144,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:02:36-06:00,145,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:02:52-06:00,146,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:03:08-06:00,147,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:03:23-06:00,148,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:03:39-06:00,149,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:03:54-06:00,150,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:04:10-06:00,151,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:04:26-06:00,152,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:05:03-06:00,153,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:05:39-06:00,154,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:06:15-06:00,155,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:06:30-06:00,156,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:06:46-06:00,157,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:07:01-06:00,158,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:07:17-06:00,159,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:07:33-06:00,160,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:07:48-06:00,161,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:08:04-06:00,162,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:08:19-06:00,163,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:08:35-06:00,164,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:08:50-06:00,165,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:09:06-06:00,166,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:09:21-06:00,167,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:09:37-06:00,168,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:09:52-06:00,169,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:10:08-06:00,170,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:10:24-06:00,171,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:10:40-06:00,172,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:10:57-06:00,173,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:11:13-06:00,174,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:11:28-06:00,175,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:11:44-06:00,176,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:12:00-06:00,177,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:12:15-06:00,178,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:12:31-06:00,179,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:12:47-06:00,180,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:13:02-06:00,181,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:13:18-06:00,182,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:13:34-06:00,183,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:13:49-06:00,184,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:14:05-06:00,185,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:14:20-06:00,186,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:14:36-06:00,187,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:14:51-06:00,188,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:15:27-06:00,189,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:15:43-06:00,190,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:15:58-06:00,191,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:16:34-06:00,192,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:16:49-06:00,193,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:17:05-06:00,194,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:17:21-06:00,195,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:17:36-06:00,196,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:17:52-06:00,197,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:18:07-06:00,198,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:18:23-06:00,199,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:18:38-06:00,200,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:18:54-06:00,201,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:19:09-06:00,202,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:19:25-06:00,203,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:19:41-06:00,204,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:19:56-06:00,205,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:20:12-06:00,206,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:20:28-06:00,207,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:20:43-06:00,208,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:20:59-06:00,209,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:21:14-06:00,210,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:21:30-06:00,211,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:21:45-06:00,212,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:22:01-06:00,213,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:22:16-06:00,214,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:22:32-06:00,215,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:22:47-06:00,216,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:23:03-06:00,217,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:23:18-06:00,218,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:23:34-06:00,219,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:23:49-06:00,220,0,0,0,0,0,0,0,0,,,,
2023-07-13T19:24:05-06:00,221,0,0,0,0,0,0,0,0,,,,
