TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,6.67,6.67,6.64,6.62
1,6.65,6.63,6.62,6.6
2,6.63,6.62,6.61,6.57
3,6.62,6.59,6.58,6.55
4,6.61,6.57,6.55,6.52
5,6.59,6.56,6.53,6.48
6,6.59,6.55,6.51,6.46
7,6.58,6.53,6.47,6.41
8,6.57,6.51,6.44,6.38
9,6.56,6.50,6.42,6.34
10,6.55,6.49,6.39,6.3
11,6.54,6.48,6.36,6.27
12,6.53,6.46,6.32,6.24
13,6.51,6.44,6.30,6.21
14,6.50,6.43,6.28,6.18
15,6.49,6.43,6.26,6.13
16,6.49,6.41,6.23,6.1
17,6.48,6.40,6.21,6.09
18,6.47,6.38,6.18,6.05
19,6.46,6.37,6.15,6.01
20,6.45,6.36,6.12,5.96
