TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,5.80,6.39,6.68,6.69
1,5.75,6.32,6.68,6.69
2,5.6,6.25,6.66,6.67
3,5.45,6.17,6.64,6.65
4,5.27,6.1,6.62,6.64
5,5.1,6.04,6.61,6.62
6,4.98,5.97,6.59,6.6
7,4.88,5.91,6.57,6.59
8,4.75,5.85,6.55,6.56
9,4.65,5.79,6.52,6.54
10,4.53,5.72,6.5,6.53
11,4.42,5.66,6.49,6.52
12,4.32,5.61,6.46,6.51
13,4.22,5.55,6.44,6.49
14,4.11,5.5,6.42,6.48
15,4.00,5.44,6.41,6.46
16,3.9,5.39,6.39,6.44
17,3.8,5.34,6.37,6.42
18,3.71,5.29,6.35,6.4
19,3.6,5.25,6.33,6.38
20,3.5,5.2,6.31,6.38
