TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,5.13,5.34,6.26,6.63
1,4.90,5.20,6.18,6.60
2,4.63,5.04,6.14,6.59
3,4.45,4.92,6.06,6.57
4,4.21,4.78,6.01,6.56
5,3.99,4.64,5.97,6.54
6,3.76,4.48,5.93,6.53
7,3.53,4.34,5.88,6.51
8,3.29,4.19,5.83,6.49
9,3.08,4.06,5.79,6.47
10,2.86,3.93,5.75,6.45
11,2.64,3.80,5.71,6.44
12,2.43,3.68,5.67,6.43
13,2.21,3.56,5.63,6.41
14,1.99,3.44,5.59,6.40
15,1.78,3.31,5.55,6.38
16,1.57,3.18,5.50,6.35
17,1.36,3.06,5.45,6.34
18,1.15,2.94,5.42,6.32
19,0.93,2.81,5.39,6.31
20,0.72,2.69,5.35,6.30
