TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,5.34,5.87,6.07,6.15
1,5.11,5.69,6.01,6.12
2,4.92,5.52,5.93,6.08
3,4.64,5.27,5.87,6.04
4,4.46,5.08,5.82,6.01
5,4.22,4.87,5.76,5.97
6,4.01,4.65,5.70,5.93
7,3.77,4.45,5.61,5.90
8,3.56,4.30,5.56,5.87
9,3.31,4.11,5.50,5.81
10,3.11,3.88,5.44,5.77
11,2.85,3.66,5.39,5.74
12,2.68,3.44,5.34,5.72
13,2.49,3.23,5.28,5.69
14,2.25,3.04,5.23,5.66
15,1.97,2.82,5.18,5.61
16,1.72,2.61,5.12,5.57
17,1.45,2.42,5.07,5.53
18,1.23,2.19,5.03,5.50
19,0.93,1.97,4.98,5.47
20,0.65,1.75,4.92,5.44
