TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,5.93,6.03,6.41,6.41
1,5.67,5.85,6.33,6.36
2,5.39,5.66,6.24,6.32
3,5.16,5.48,6.15,6.27
4,4.88,5.32,6.08,6.23
5,4.69,5.11,6.00,6.18
6,4.44,4.95,5.91,6.13
7,4.18,4.78,5.82,6.08
8,3.93,4.60,5.74,6.03
9,3.64,4.42,5.66,5.97
10,3.40,4.26,5.58,5.92
11,3.12,4.07,5.49,5.87
12,2.91,3.94,5.41,5.82
13,2.63,3.76,5.33,5.78
14,2.45,3.57,5.25,5.64
15,2.17,3.41,5.16,5.68
16,1.94,3.25,5.08,5.64
17,1.71,3.09,5.00,5.59
18,1.54,2.92,4.92,5.53
19,1.27,2.76,4.84,5.48
20,1.02,2.60,4.77,5.43
